Employee ID,Job Title,Service Area,Department,Specialty,Sub-Specialty,BRP Index,Self Leadership,Innovation Capacity,Learning Capacity,Resilience,Exercise,Nutrition,Sleep/Wake,Social Safety,Goal Directedness,Collective Creativity,Learning,Abstraction,Executive Function,Quieting the Mind
42774,Admissions Specialist I,Administration,Finance,Admissions,Admissions Pool,47,42,50,58,38,57,97,46,40,28,98,79,31,22,26
14626,Admissions Specialist I,Administration,Finance,Admissions,Admissions Pool,39,19,48,44,45,61,98,55,20,19,4,3,79,32,55
30563,Admissions Specialist I,Administration,Finance,Admissions,Admissions Pool,39,29,65,14,49,20,0,55,55,0,69,0,80,60,57
28620,Admissions Specialist II,Administration,Finance,Admissions,Admissions Pool,60,78,55,61,45,21,26,52,58,99,82,88,58,66,29
26937,Admissions Specialist II,Administration,Finance,Admissions,Admissions Pool,51,50,46,65,44,22,81,47,54,26,5,88,67,30,65
47213,Admissions Specialist II,Administration,Finance,Admissions,Admissions Pool,57,60,40,71,56,67,100,34,60,41,25,81,39,58,62
39098,Admissions Specialist II,Administration,Finance,Admissions,Admissions Pool,54,56,48,58,52,47,83,69,60,31,86,82,1,50,36
43678,Admissions Specialist III,Administration,Finance,Admissions,Admissions Pool,46,43,39,52,51,60,94,32,65,27,3,33,66,45,54
29178,Admissions Specialist I,Administration,Finance,Admissions,"Allergy, Asthma and Clinical Immunology",51,52,51,52,48,52,54,67,55,66,57,52,45,33,34
4044,Application Developer,Administration,Health Information Management,Development,Ambulatory Clinical Applications,55,58,59,70,34,11,72,54,36,97,78,70,62,29,41
13069,Application Developer,Administration,Health Information Management,Development,Ambulatory Clinical Applications,49,50,56,57,32,29,76,48,12,70,87,63,70,53,20
27720,Manager of Ambulatory Clinical Applications,Administration,Health Information Management,Development,Ambulatory Clinical Applications,59,70,56,75,35,10,71,11,44,81,71,97,91,56,52
37560,Sr. Application Developer,Administration,Health Information Management,Development,Ambulatory Clinical Applications,56,56,60,71,38,35,84,56,39,95,84,69,61,21,37
42425,Sr. Application Developer,Administration,Health Information Management,Development,Ambulatory Clinical Applications,61,59,67,78,41,46,85,28,53,69,89,96,91,19,60
40271,Director of Ancillary Services,Remote Clinics,Bristol Regional Clinic,Administration,Ancillary Services,38,30,45,47,31,30,66,22,16,34,74,36,31,35,53
40144,Reception/Admitting Specialist,Remote Clinics,Bristol Regional Clinic,Administration,Ancillary Services,54,52,55,57,53,60,51,30,38,35,71,69,46,65,74
45489,Reception/Admitting Specialist,Remote Clinics,Bristol Regional Clinic,Administration,Ancillary Services,56,59,46,61,57,63,70,36,48,43,48,67,39,78,62
26325,Reception/Admitting Specialist,Remote Clinics,Bristol Regional Clinic,Administration,Ancillary Services,55,56,54,51,59,56,41,54,47,62,69,38,33,75,61
4620,Reception/Admitting Specialist,Remote Clinics,Bristol Regional Clinic,Administration,Ancillary Services,55,72,45,54,49,41,38,34,64,66,61,79,52,77,31
42332,Director of Ancillary Services,Remote Clinics,Clinton Regional Clinic,Administration,Ancillary Services,48,44,49,55,44,34,79,78,37,32,47,73,35,35,36
10727,Reception/Admitting Specialist,Remote Clinics,Clinton Regional Clinic,Administration,Ancillary Services,59,52,68,60,55,42,31,72,47,78,52,49,69,34,80
46345,Reception/Admitting Specialist,Remote Clinics,Clinton Regional Clinic,Administration,Ancillary Services,58,61,54,63,52,41,65,73,71,64,56,79,43,31,45
20058,Reception/Admitting Specialist,Remote Clinics,Clinton Regional Clinic,Administration,Ancillary Services,63,59,67,63,64,60,60,73,59,80,44,39,80,56,71
49817,Reception/Admitting Specialist,Remote Clinics,Clinton Regional Clinic,Administration,Ancillary Services,51,53,52,53,45,56,60,49,35,71,77,50,50,54,32
6004,Director of Ancillary Services,Remote Clinics,Fairview Regional Clinic,Administration,Ancillary Services,53,61,44,58,47,42,47,32,70,66,49,68,44,39,52
7525,Reception/Admitting Specialist,Remote Clinics,Fairview Regional Clinic,Administration,Ancillary Services,54,56,52,45,61,73,31,68,47,53,56,52,38,73,44
45021,Reception/Admitting Specialist,Remote Clinics,Fairview Regional Clinic,Administration,Ancillary Services,50,59,45,44,50,30,36,53,53,39,53,65,38,78,34
31450,Reception/Admitting Specialist,Remote Clinics,Fairview Regional Clinic,Administration,Ancillary Services,52,41,59,52,55,60,54,52,38,42,57,36,52,48,75
13343,Reception/Admitting Specialist,Remote Clinics,Fairview Regional Clinic,Administration,Ancillary Services,51,55,46,52,50,68,45,49,50,65,43,58,53,46,38
28052,Director of Ancillary Services,Remote Clinics,Franklin Regional Clinic,Administration,Ancillary Services,51,58,42,56,49,59,35,53,31,76,37,69,33,55,45
16592,Reception/Admitting Specialist,Remote Clinics,Franklin Regional Clinic,Administration,Ancillary Services,56,58,59,49,59,38,38,80,75,57,34,49,67,49,53
9594,Reception/Admitting Specialist,Remote Clinics,Franklin Regional Clinic,Administration,Ancillary Services,56,56,56,55,56,42,74,68,70,41,74,60,34,54,46
48325,Reception/Admitting Specialist,Remote Clinics,Franklin Regional Clinic,Administration,Ancillary Services,58,59,51,64,59,65,80,54,76,71,43,46,48,44,58
16,Director of Ancillary Services,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,63,71,58,63,58,68,42,38,67,77,75,77,60,61,57
27942,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,61,56,71,65,53,44,51,72,43,68,68,74,77,40,68
17526,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,58,59,55,57,61,75,30,48,44,76,72,50,30,67,71
13667,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,63,64,58,58,70,76,64,52,79,69,55,31,57,75,66
1813,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,57,52,62,55,57,49,43,61,66,55,69,49,47,37,72
17370,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,58,59,54,56,61,64,60,36,72,32,46,66,70,66,65
325,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,50,40,63,49,47,48,51,75,31,34,60,61,68,34,49
7962,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,50,50,46,48,55,78,62,41,69,54,66,31,33,46,43
7181,Reception/Admitting Specialist,Remote Clinics,Greenville Regional Clinic,Administration,Ancillary Services,57,45,71,52,59,47,42,78,51,40,76,47,52,40,77
845,Director of Ancillary Services,Remote Clinics,Lebanon Regional Clinic,Administration,Ancillary Services,58,52,59,55,64,80,58,69,49,54,40,45,63,59,62
7454,Reception/Admitting Specialist,Remote Clinics,Lebanon Regional Clinic,Administration,Ancillary Services,57,61,54,55,57,77,44,70,40,76,56,62,52,64,36
37746,Reception/Admitting Specialist,Remote Clinics,Lebanon Regional Clinic,Administration,Ancillary Services,54,51,53,63,49,52,52,37,45,48,30,74,67,35,78
1453,Reception/Admitting Specialist,Remote Clinics,Lebanon Regional Clinic,Administration,Ancillary Services,57,58,58,61,50,31,70,54,45,65,70,56,55,64,54
13214,Reception/Admitting Specialist,Remote Clinics,Lebanon Regional Clinic,Administration,Ancillary Services,48,48,49,45,49,58,67,49,49,51,42,31,74,61,30
17876,Director of Ancillary Services,Remote Clinics,Springfield Regional Clinic,Administration,Ancillary Services,57,51,62,55,58,43,55,53,53,50,69,36,47,63,79
7226,Reception/Admitting Specialist,Remote Clinics,Springfield Regional Clinic,Administration,Ancillary Services,61,48,75,63,57,41,68,80,44,72,72,34,68,42,79
16111,Reception/Admitting Specialist,Remote Clinics,Springfield Regional Clinic,Administration,Ancillary Services,53,66,38,61,47,38,67,41,46,66,38,76,38,76,34
43457,Reception/Admitting Specialist,Remote Clinics,Springfield Regional Clinic,Administration,Ancillary Services,53,58,48,54,53,56,68,36,48,36,70,67,39,80,45
32929,Reception/Admitting Specialist,Remote Clinics,Springfield Regional Clinic,Administration,Ancillary Services,56,44,65,60,54,49,64,73,37,48,42,53,71,36,75
40154,Reception/Admitting Specialist,Remote Clinics,Springfield Regional Clinic,Administration,Ancillary Services,61,64,55,65,58,40,61,47,58,73,49,53,49,73,73
32651,Reception/Admitting Specialist,Remote Clinics,Springfield Regional Clinic,Administration,Ancillary Services,58,55,60,62,53,42,69,77,46,52,56,76,54,46,52
43516,Director of Ancillary Services,Remote Clinics,Washington Regional Clinic,Administration,Ancillary Services,62,61,64,58,64,79,70,66,55,58,74,58,69,73,45
48987,Reception/Admitting Specialist,Remote Clinics,Washington Regional Clinic,Administration,Ancillary Services,53,53,55,47,55,54,53,62,52,42,80,52,38,66,40
37070,Reception/Admitting Specialist,Remote Clinics,Washington Regional Clinic,Administration,Ancillary Services,49,53,38,59,45,67,71,36,49,58,33,69,46,37,36
44539,Reception/Admitting Specialist,Remote Clinics,Washington Regional Clinic,Administration,Ancillary Services,52,40,65,51,52,64,51,64,40,39,76,51,58,31,62
13785,Reception/Admitting Specialist,Remote Clinics,Washington Regional Clinic,Administration,Ancillary Services,48,46,49,50,48,66,57,55,39,41,49,62,50,42,40
23284,"Team Leader, A/V Services",Administration,Health Information Management,Central Communications,Audio/Visual Services,73,63,75,74,81,99,80,74,71,59,62,60,66,61,98
16008,Telehealth Technician,Administration,Health Information Management,Central Communications,Audio/Visual Services,63,63,66,51,72,81,35,60,91,49,73,50,62,60,68
19207,Telehealth Technician,Administration,Health Information Management,Central Communications,Audio/Visual Services,78,87,72,76,76,63,60,86,76,100,65,80,71,90,65
39323,Admissions Specialist I,Administration,Finance,Admissions,Audiology,51,50,55,40,58,77,39,52,80,34,63,43,62,41,42
34971,Administrative Assistant,Administration,Finance,Business Processing Center,Billing Department,50,46,51,46,55,59,37,66,57,41,37,47,44,37,57
47174,Billing Specialist I,Administration,Finance,Business Processing Center,Billing Department,43,48,38,40,46,69,33,30,30,48,44,45,44,69,33
34571,Billing Specialist I,Administration,Finance,Business Processing Center,Billing Department,40,41,41,38,38,27,48,62,24,20,37,63,45,58,21
14190,Billing Specialist I,Administration,Finance,Business Processing Center,Billing Department,44,47,34,51,42,63,57,21,56,41,27,63,46,26,43
37196,Billing Specialist I,Administration,Finance,Business Processing Center,Billing Department,35,34,35,39,33,54,61,23,24,39,25,32,66,41,24
42820,Billing Specialist I,Administration,Finance,Business Processing Center,Billing Department,49,45,52,46,53,49,64,66,52,41,61,33,37,53,44
39785,Billing Specialist I,Administration,Finance,Business Processing Center,Billing Department,49,53,48,53,41,40,57,53,62,69,52,58,59,22,27
1561,Billing Specialist I,Administration,Finance,Business Processing Center,Billing Department,43,42,47,42,41,29,59,45,23,51,66,22,38,70,37
42553,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,43,41,36,55,41,64,56,35,26,53,35,59,22,27,52
48660,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,44,37,51,42,47,52,33,59,20,49,60,31,30,47,56
16413,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,42,37,48,44,40,43,28,37,23,28,46,61,50,37,60
14664,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,44,42,48,49,35,27,58,20,23,60,52,27,68,56,50
43187,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,42,41,44,36,48,58,27,57,56,48,31,30,47,31,40
1437,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,52,49,56,45,59,55,44,66,64,41,41,38,62,53,56
46838,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,40,49,35,36,41,38,23,27,63,34,23,54,57,44,34
6319,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,48,45,55,51,42,30,46,21,47,41,60,47,69,46,68
19386,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,41,43,36,39,46,59,22,28,33,54,26,26,35,58,54
25899,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,39,35,32,51,39,47,67,25,37,30,21,47,21,26,59
38387,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,45,38,51,37,55,51,26,60,28,23,28,32,49,67,67
19720,Billing Specialist II,Administration,Finance,Business Processing Center,Billing Department,44,45,40,46,43,50,60,32,34,38,52,46,34,60,40
25221,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,43,48,37,43,42,36,42,41,37,68,47,27,26,60,35
49477,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,50,58,39,54,48,55,59,41,67,54,27,69,54,41,34
40721,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,47,42,51,49,46,66,60,50,51,40,53,53,61,24,41
36895,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,48,55,43,52,43,23,67,58,37,52,46,60,38,69,28
2763,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,45,49,44,46,41,22,30,35,61,34,41,66,49,35,52
2986,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,45,41,48,41,48,56,43,56,56,36,56,43,39,30,40
8095,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,45,59,33,48,39,28,21,32,56,69,41,66,22,45,35
41086,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,38,39,38,36,39,56,26,50,42,45,54,48,22,20,26
1427,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,44,42,46,50,39,38,68,28,49,59,50,28,59,32,46
5796,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,38,40,39,42,32,30,35,33,31,34,37,64,52,31,34
10343,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,50,51,48,50,52,22,48,56,62,56,31,32,42,54,64
43415,Billing Specialist III,Administration,Finance,Business Processing Center,Billing Department,49,45,58,44,47,25,20,56,43,21,70,69,43,48,64
30682,Director of Billings Services,Administration,Finance,Business Processing Center,Billing Department,39,32,42,39,44,44,49,35,50,24,51,22,21,33,60
3694,Manager of Billing Services,Administration,Finance,Business Processing Center,Billing Department,49,49,45,53,48,41,54,65,66,67,38,42,27,20,49
21819,Manager of Medical Billing,Administration,Finance,Business Processing Center,Billing Department,46,49,42,55,37,46,67,23,50,58,36,57,70,29,37
25460,Patient Financial Specialist I,Administration,Finance,Business Processing Center,Billing Department,76,71,84,78,72,64,79,70,77,62,83,84,96,60,88
18959,Patient Financial Specialist I,Administration,Finance,Business Processing Center,Billing Department,45,56,37,42,43,25,38,29,62,51,37,45,47,66,35
20237,Patient Financial Specialist I,Administration,Finance,Business Processing Center,Billing Department,58,63,55,60,54,55,36,26,50,68,64,64,59,69,70
27479,Patient Financial Specialist I,Administration,Finance,Business Processing Center,Billing Department,73,65,74,75,77,86,73,84,60,68,54,67,67,63,92
47635,Patient Financial Specialist I,Administration,Finance,Business Processing Center,Billing Department,46,51,43,47,44,35,33,42,45,60,56,48,27,51,47
18123,Patient Financial Specialist I,Administration,Finance,Business Processing Center,Billing Department,51,55,42,53,52,66,43,41,62,53,30,65,49,41,49
1194,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,30,18,44,32,26,18,44,43,13,26,45,18,49,14,40
25682,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,31,35,26,34,29,9,39,30,38,23,22,40,20,37,33
4772,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,43,46,42,40,45,39,26,60,53,62,27,33,44,35,38
41373,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,40,48,34,36,43,27,22,32,47,51,26,26,33,67,44
9347,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,38,28,46,37,40,42,49,56,41,41,48,13,33,17,46
18084,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,39,44,37,37,39,25,56,27,56,28,40,36,53,57,28
30854,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,45,53,33,50,45,31,66,30,66,51,27,39,33,57,43
41390,Patient Financial Specialist II,Administration,Finance,Business Processing Center,Billing Department,39,40,38,43,36,35,69,32,50,50,20,26,70,34,28
16508,Budget Analyst,Administration,Finance,Financial Planning and Operations,Budget Department,79,79,84,72,82,72,72,94,79,83,84,60,87,94,71
14593,Budget Analyst,Administration,Finance,Financial Planning and Operations,Budget Department,74,78,70,74,75,81,70,78,84,89,74,72,65,67,63
22001,Budget Director,Administration,Finance,Financial Planning and Operations,Budget Department,80,83,78,78,81,65,64,75,99,61,61,95,85,75,90
25560,Application Developer,Administration,Health Information Management,Development,Business Applications Team,41,48,36,36,42,60,38,20,65,46,66,39,36,43,20
23718,Application Developer,Administration,Health Information Management,Development,Business Applications Team,53,53,53,48,59,68,49,36,70,56,59,26,55,58,62
43507,Application Developer,Administration,Health Information Management,Development,Business Applications Team,49,62,40,52,40,24,32,20,58,62,56,70,41,58,42
48782,Manager of Business Applications Development,Administration,Health Information Management,Development,Business Applications Team,48,56,37,53,47,48,64,28,56,47,41,58,37,61,42
43234,Sr. Application Developer,Administration,Health Information Management,Development,Business Applications Team,42,36,48,42,41,51,68,37,53,38,55,26,66,28,35
3904,Sr. Application Developer,Administration,Health Information Management,Development,Business Applications Team,54,50,56,56,55,65,59,54,53,41,69,63,39,44,60
37979,Sr. Application Developer,Administration,Health Information Management,Development,Business Applications Team,44,47,45,46,37,31,52,54,33,41,41,68,64,46,22
38441,Admissions Specialist I,Administration,Finance,Admissions,Cardiovascular Medicine,59,59,55,64,57,33,64,52,65,46,47,68,46,57,76
8180,Admissions Specialist I,Administration,Finance,Admissions,Cardiovascular Medicine,50,52,43,48,56,74,32,36,35,67,40,31,31,73,63
15974,Admissions Specialist III,Administration,Finance,Admissions,Cardiovascular Medicine,53,50,57,51,54,62,39,68,48,41,46,71,59,39,54
5695,Collections Specialist,Administration,Finance,Treasury Group,Collections Department,48,44,49,47,52,58,46,52,43,30,55,54,31,50,59
40238,Collections Specialist,Administration,Finance,Treasury Group,Collections Department,49,50,42,47,55,69,56,60,78,51,30,42,38,30,39
16176,Manager of Collections,Administration,Finance,Treasury Group,Collections Department,59,63,53,58,60,67,78,72,52,53,61,69,44,78,33
36556,Sr. Collections Specialist,Administration,Finance,Treasury Group,Collections Department,43,34,43,47,47,75,57,41,30,31,38,41,32,32,59
43188,Sr. Collections Specialist,Administration,Finance,Treasury Group,Collections Department,55,69,40,61,51,43,47,33,76,72,38,74,38,55,50
9301,Admissions Specialist I,Administration,Finance,Admissions,Colon and Rectal Surgery,55,50,64,43,62,76,39,64,73,48,66,34,74,46,51
14256,Admissions Specialist I,Administration,Finance,Admissions,Colon and Rectal Surgery,51,48,51,47,58,78,30,46,40,45,47,46,42,61,67
1824,Admissions Specialist I,Administration,Finance,Admissions,Critical Care,55,53,55,51,60,30,54,55,59,39,47,36,43,79,75
6393,Admissions Specialist I,Administration,Finance,Admissions,Critical Care,58,59,50,69,54,33,74,52,59,61,39,65,34,49,75
15845,Admissions Specialist II,Administration,Finance,Admissions,Critical Care,47,46,50,41,52,65,45,64,53,37,38,47,65,46,34
21402,Admissions Specialist I,Administration,Finance,Admissions,Dermatology,47,44,50,48,46,60,45,52,37,61,69,41,35,36,45
48983,Admissions Specialist I,Administration,Finance,Admissions,Dermatology,55,57,49,64,51,59,68,43,31,60,56,70,42,65,56
43392,Help Desk Specialist,Administration,Health Information Management,Development,Desktop Support and Help Desk,49,52,41,47,55,68,53,39,73,56,40,32,37,45,48
11791,Help Desk Specialist,Administration,Health Information Management,Development,Desktop Support and Help Desk,58,45,71,53,61,59,48,74,39,30,80,56,51,54,78
40401,IT Specialist ,Administration,Health Information Management,Development,Desktop Support and Help Desk,46,42,42,48,51,69,69,33,37,36,44,33,35,61,54
48479,IT Specialist ,Administration,Health Information Management,Development,Desktop Support and Help Desk,52,54,46,62,46,67,73,46,50,77,39,60,61,30,39
21960,IT Specialist ,Administration,Health Information Management,Development,Desktop Support and Help Desk,59,60,55,58,62,54,76,66,76,33,49,67,51,62,54
29124,"Team Leader, Desktop Support",Administration,Health Information Management,Development,Desktop Support and Help Desk,57,58,53,59,59,67,54,35,49,59,50,50,56,74,72
13449,Manager of Treasury,Administration,Finance,Treasury Group,Disbursing Department,47,52,46,44,46,30,31,64,64,50,30,59,52,34,37
18010,Sr. Treasury Specialist,Administration,Finance,Treasury Group,Disbursing Department,50,41,50,59,51,66,70,49,35,53,34,41,47,36,70
18036,Treasury Specialist,Administration,Finance,Treasury Group,Disbursing Department,39,37,49,33,36,32,32,40,31,33,74,37,50,47,30
17659,Treasury Specialist,Administration,Finance,Treasury Group,Disbursing Department,53,57,49,52,54,70,51,64,36,49,54,73,43,68,34
27417,Licensed Practical Nurse,Remote Clinics,Bristol Regional Clinic,Medical Services,Emergency,48,50,41,51,49,55,47,45,49,60,57,46,10,46,52
45861,Licensed Practical Nurse,Remote Clinics,Bristol Regional Clinic,Medical Services,Emergency,40,42,36,50,32,32,53,14,28,45,31,54,53,39,46
16980,Physician,Remote Clinics,Bristol Regional Clinic,Medical Services,Emergency,24,26,24,22,23,12,4,35,15,24,12,34,25,31,24
11163,Registered Nurse,Remote Clinics,Bristol Regional Clinic,Medical Services,Emergency,31,30,31,26,35,25,44,25,36,16,55,11,13,57,31
46324,Registered Nurse,Remote Clinics,Bristol Regional Clinic,Medical Services,Emergency,33,24,43,36,30,52,36,31,12,14,58,53,42,16,39
43276,Licensed Practical Nurse,Remote Clinics,Clinton Regional Clinic,Medical Services,Emergency,37,47,28,39,32,44,46,10,39,44,60,52,27,53,15
47550,Licensed Practical Nurse,Remote Clinics,Clinton Regional Clinic,Medical Services,Emergency,19,16,22,16,20,17,24,12,9,16,23,0,29,39,24
33932,Physician,Remote Clinics,Clinton Regional Clinic,Medical Services,Emergency,34,31,33,29,41,45,35,39,53,20,24,20,27,29,40
41671,Registered Nurse,Remote Clinics,Clinton Regional Clinic,Medical Services,Emergency,57,60,53,50,63,79,39,52,52,35,36,73,71,80,54
11394,Registered Nurse,Remote Clinics,Clinton Regional Clinic,Medical Services,Emergency,37,50,32,30,34,16,13,29,56,58,57,32,28,55,15
36466,Licensed Practical Nurse,Remote Clinics,Fairview Regional Clinic,Medical Services,Emergency,35,35,38,44,23,16,36,15,21,55,49,44,47,19,42
12390,Licensed Practical Nurse,Remote Clinics,Fairview Regional Clinic,Medical Services,Emergency,23,24,23,24,20,4,0,19,32,22,20,33,14,8,39
47788,Physician,Remote Clinics,Fairview Regional Clinic,Medical Services,Emergency,31,33,26,32,33,28,38,23,36,40,15,14,29,43,37
33743,Registered Nurse,Remote Clinics,Fairview Regional Clinic,Medical Services,Emergency,23,29,17,16,29,49,12,12,29,25,23,15,23,46,11
46226,Registered Nurse,Remote Clinics,Fairview Regional Clinic,Medical Services,Emergency,32,44,19,32,34,52,10,16,54,59,24,35,13,26,24
29343,Licensed Practical Nurse,Remote Clinics,Franklin Regional Clinic,Medical Services,Emergency,53,61,53,52,44,42,39,30,60,53,67,80,80,52,35
10229,Licensed Practical Nurse,Remote Clinics,Franklin Regional Clinic,Medical Services,Emergency,56,61,54,49,60,78,35,52,57,63,70,53,49,70,44
10974,Physician,Remote Clinics,Franklin Regional Clinic,Medical Services,Emergency,31,39,22,32,30,16,46,18,38,44,38,17,12,56,20
20426,Registered Nurse,Remote Clinics,Franklin Regional Clinic,Medical Services,Emergency,36,47,34,35,29,16,40,17,60,38,58,51,50,39,11
34495,Registered Nurse,Remote Clinics,Franklin Regional Clinic,Medical Services,Emergency,13,2,23,9,16,39,28,33,4,0,21,3,33,0,6
49,Licensed Practical Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,33,41,25,37,28,12,18,12,42,57,29,32,21,34,39
49553,Licensed Practical Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,57,59,53,59,56,36,80,66,51,56,39,51,57,78,50
12800,Licensed Practical Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,52,56,43,53,54,62,80,48,52,47,38,51,52,75,32
38149,Licensed Practical Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,61,57,60,66,61,72,78,63,42,78,33,42,78,64,66
15975,Physician,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,59,65,47,56,66,72,64,80,71,62,32,59,40,69,37
34907,Physician,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,60,73,54,58,54,37,44,56,69,73,65,78,55,72,38
30766,Registered Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,34,34,31,34,37,21,40,39,45,25,22,27,19,37,45
10267,Registered Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,40,44,32,44,41,24,50,34,52,26,25,52,21,47,47
31577,Registered Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,16,19,15,16,15,36,5,2,6,7,24,40,22,23,10
34848,Registered Nurse,Remote Clinics,Greenville Regional Clinic,Medical Services,Emergency,33,33,37,35,25,11,41,33,14,20,39,54,49,42,26
12780,Licensed Practical Nurse,Remote Clinics,Lebanon Regional Clinic,Medical Services,Emergency,64,67,58,65,64,44,66,41,80,63,67,51,44,73,80
35408,Licensed Practical Nurse,Remote Clinics,Lebanon Regional Clinic,Medical Services,Emergency,29,26,34,29,28,11,24,28,17,37,49,11,13,39,44
